名称,代码,成交额,最新价,涨跌幅,60日涨跌幅,年初至今涨跌幅,dt
昆仑万维,300418,59.6,41.77,3.01,198.36,189.87,2023032714
汤姆猫,300459,50.3,7.7,1.18,142.9,144.44,2023032714
中天科技,600522,48.7,18.59,2.82,31.19,15.11,2023032714
景嘉微,300474,47.2,117.45,3.89,124.74,115.23,2023032714
拓尔思,300229,44.3,29.09,1.25,149.27,148.21,2023032714
同花顺,300033,44.3,190.33,7.98,95.87,93.01,2023032714
拓维信息,2261,43.7,15.44,9.97,141.63,132.88,2023032714
中际旭创,300308,41.2,55.89,7.01,112.27,106.77,2023032714
阳光电源,300274,38.1,105.2,3.75,14.9,-5.9,2023032714
金山办公,688111,36.8,392.03,0.01,59.36,48.22,2023032714
中文在线,300364,36.3,19.18,10.1,105.35,93.35,2023032714
东方国信,300166,34.6,14.03,15.19,76.7,75.59,2023032714
沪电股份,2463,34.3,22.34,3.43,92.59,87.73,2023032714
寒武纪-U,688256,33.0,183.79,0.43,225.46,236.86,2023032714
恒生电子,600570,32.8,50.28,6.08,30.6,24.27,2023032714
科士达,2518,29.3,47.63,7.81,1.97,-17.31,2023032714
同方股份,600100,28.8,7.65,8.36,78.32,77.49,2023032714
药明康德,603259,27.6,81.8,2.07,6.21,0.99,2023032714
中航电测,300114,27.4,55.02,1.61,451.86,436.26,2023032714
易华录,300212,27.2,35.42,2.1,65.59,73.54,2023032714
TCL中环,2129,26.8,47.48,5.16,35.93,26.08,2023032714
新易盛,300502,25.9,42.8,8.91,84.09,80.21,2023032714
兖矿能源,600188,24.9,34.49,10.02,-0.43,2.71,2023032714
隆基绿能,601012,24.8,40.25,0.5,-0.72,-4.76,2023032714
二三四五,2195,23.8,3.48,4.19,72.28,73.13,2023032714
联络互动,2280,22.4,4.81,10.07,73.65,73.02,2023032714
神州数码,34,21.6,33.5,7.54,53.53,52.69,2023032714
亨通光电,600487,20.9,15.89,0.95,13.1,5.51,2023032714
汉王科技,2362,20.6,35.49,2.69,122.23,128.53,2023032714
神州泰岳,300002,19.9,9.07,7.21,110.44,108.99,2023032714
特发信息,70,19.8,11.11,6.72,69.88,60.55,2023032714
恒瑞医药,600276,18.9,43.19,3.57,17.52,12.09,2023032714
人民网,603000,18.5,19.05,2.7,18.4,12.92,2023032714
西部矿业,601168,18.2,12.5,10.04,23.64,22.55,2023032714
中国卫通,601698,17.8,22.02,-1.3,96.61,92.82,2023032714
三花智控,2050,16.7,25.62,7.96,17.85,20.74,2023032714
牧原股份,2714,16.5,48.45,2.02,1.17,-0.62,2023032714
国光电器,2045,16.4,19.72,8.89,68.12,59.16,2023032714
全志科技,300458,16.4,29.27,1.28,43.2,43.76,2023032714
天下秀,600556,16.0,9.98,3.42,48.73,48.07,2023032714
容大感光,300576,15.8,41.31,9.52,100.05,100.05,2023032714
光迅科技,2281,15.7,27.15,3.82,74.26,72.71,2023032714
浪潮信息,977,94.6,40.1,5.39,89.06,86.34,2023032414
科大讯飞,2230,78.6,59.84,5.52,81.55,82.27,2023032414
紫光国微,2049,67.6,111.85,1.56,-9.8,-15.15,2023032414
东方财富,300059,63.0,20.23,3.48,6.75,4.28,2023032414
景嘉微,300474,58.2,111.8,10.57,111.34,104.87,2023032414
三六零,601360,53.9,16.78,10.03,159.35,156.57,2023032414
立讯精密,2475,53.1,31.26,6.58,-1.14,-1.54,2023032414
工业富联,601138,49.6,17.36,2.18,86.87,89.11,2023032414
中天科技,600522,48.5,18.1,3.78,27.11,12.07,2023032414
汤姆猫,300459,47.9,7.7,8.45,148.39,144.44,2023032414
中科曙光,603019,46.5,39.3,2.93,79.21,77.51,2023032414
歌尔股份,2241,45.3,22.5,1.58,29.76,33.69,2023032414
拓尔思,300229,43.2,28.81,5.22,152.5,145.82,2023032414
